vigencia,ID_acuerdo,fec_sanc,titulo,articulado,tema,alcalde,pre_concejo,estado_acuerdo,obs_vigencia
2015,AD-024-2015,2015-12-07,Por el cual se modifica parcialmente el acuerdo 041 de 2007 y se dictan otras disposiciones,3,Gobernanza urbana,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-025-2015,2015-12-17,Por el cual se modifica parcialmente el acuerdo no 018 de 2003 actualizado y concordado con los acuerdos no 031 de diciembre 29 de 2005 042 de diciembre 21 de 2006 018 del 29 de octubre de 2015 y 020 del 27 de noviembre de 2015 conforme al acto legislativo 02 de 2015,1,Reglamento concejo,Roberto Barrios Martinez,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-026-2015,2015-12-18,Por el cual se aprueba el presupuesto de rentas recursos de capital y recursos de fondos especiales apropiaciones de funcionamiento y de sevicio de la deuda del distrito de cartagena de indias para la vigencia fiscal de 2016,88,Finanzas Publicas,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-027-2015,2015-12-21,Por medio del cual se establece la escala salarial de la planta de personal temporal de la ese cartagena de indias,6,Gestion administrativa,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-028-2015,2015-12-24,Por medio del cual se efectúa una incorporación presupuestal en el presupuesto de la vigencia fiscal 2015/ y una corrección al acuerdo 017 de 27 de octubre 2015,4,Finanzas Publicas,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-029-2015,2015-12-29,Por el cual se autoriza al alcalde mayor de cartagena de indias para entregar en comodato un bien inmueble a la liga de la lucha contra el cancer,2,gestion de bienes y patrimonio,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-030-2015,2015-12-29,Por el cual se crea el consejo interistitucional para el desarrollo de la ciencia tecnologia e innovacion al desarrollo distrital,10,"Ciencia, Tecnologia, Innovacion",Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2016,AD-002-2016,2016-03-18,Por medio del cual se crea el consejo distrital de proteccion al consumidor del distrito de cartagena,9,Gestion administrativa,Manuel Vicente Duque,Javier Wadi Curi,Vigente,No aplica
2016,AD-003-2016,2016-03-18,Por medio del cual se autoriza al alcalde mayor de cartagena de indias para ceder a título gratuito el dominio de predios fiscales ocupados con viviendas de interés social antes del 30 de noviembre de 2001 de conformidad con el artículo 2 de la ley 1001 de 2005 y se dictan otras disposiciones,7,Cesion de predios o bienes,Manuel Vicente Duque,Javier Wadi Curi,Derogado,Derogado por el acuerdo 195 de 2025
2016,AD-004-2016,2016-05-03,"Por medio del cual se efectua una incorporación al presupuesto de rentas, recursos de capital y recursos de fondos especiales apropiaciones de funcionamiento y de servicio de la deuda del distrito de cartagena de indias para la vigencia fiscal 2016",3,Finanzas Publicas,Luz Estela Caceres,Javier Wadi Curi,Derogado,Derogado por el acuerdo 195 de 2025
2016,AD-005-2016,2016-06-08,Por medio del cual se efectúa una incorporación al presupuesto de rentas recursos de capital y recursos de fondos especiales apropiaciones de funcionamiento y de servicio de la deuda del distrito de cartagena de indias para la vigencia fiscal 2016,3,Finanzas Publicas,Adriana Meza Yepez,Javier Wadi Curi,Derogado,Derogado por el acuerdo 195 de 2025
